comm_type,comm_group,comm_group_size,msg_size,stage,dst,src,additional,_elapsed_time,algbw,busbw,count
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.260000228881836,20.66,20.66,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.29372787475586,20.62,20.62,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.09993600100278854,0.15,0.15,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,5.996799945831299,20.84,20.84,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.051167964935303,20.66,20.66,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.049727916717529,20.66,20.66,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.0799360275268555,20.56,20.56,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.10460799932479858,0.15,0.15,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.214975357055664,20.72,20.72,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.2491512298584,20.67,20.67,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.26211166381836,20.66,20.66,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.10665600001811981,0.14,0.14,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,5.99132776260376,20.86,20.86,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.041567802429199,20.69,20.69,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.043168067932129,20.68,20.68,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.054080009460449,20.65,20.65,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.10444799810647964,0.15,0.15,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.177248001098633,20.77,20.77,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.287616729736328,20.63,20.63,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.265216827392578,20.65,20.65,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.10127999633550644,0.15,0.15,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,5.98473596572876,20.89,20.89,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.034495830535889,20.71,20.71,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.042240142822266,20.69,20.69,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.042496204376221,20.69,20.69,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.10406400263309479,0.15,0.15,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.136831283569336,20.82,20.82,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.24224090576172,20.68,20.68,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.252992630004883,20.67,20.67,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.12281599640846252,0.12,0.12,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,5.93779182434082,21.05,21.05,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.047264099121094,20.67,20.67,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.057983875274658,20.63,20.63,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.044159889221191,20.68,20.68,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.09385599941015244,0.16,0.16,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.178335189819336,20.76,20.76,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.249919891357422,20.67,20.67,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.34160041809082,20.56,20.56,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.12406399846076965,0.12,0.12,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,5.957119941711426,20.98,20.98,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.061024188995361,20.62,20.62,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.059999942779541,20.63,20.63,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.058656215667725,20.63,20.63,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.10275200009346008,0.15,0.15,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.19811248779297,20.74,20.74,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.25663948059082,20.66,20.66,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.257375717163086,20.66,20.66,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.10864000022411346,0.14,0.14,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,5.977952003479004,20.91,20.91,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.057119846343994,20.64,20.64,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.055391788482666,20.64,20.64,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.0787200927734375,20.56,20.56,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.09948799759149551,0.15,0.15,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.173215866088867,20.77,20.77,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.253568649291992,20.67,20.67,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.253503799438477,20.67,20.67,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.12223999947309494,0.12,0.12,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,5.97654390335083,20.92,20.92,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.056543827056885,20.64,20.64,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.063263893127441,20.62,20.62,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.074336051940918,20.58,20.58,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.11011199653148651,0.14,0.14,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.16307258605957,20.78,20.78,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.23619270324707,20.69,20.69,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.24297523498535,20.68,20.68,1
